Continent,Country,Fatality,patient,medical level,Average,Priority,TimeOne,TimeTwo,TimeThree
Asia,Indonesia,1,4,4,3,1,1,1,1
Asia,China,2,6,3,3.67,2,2,4,2
Asia,India,4,7,1,4,3,4,6,4
Asia,Japan,3,3,6,4,4,3,2,3
Asia,Thailand,5,1,8,4.67,5,5,3,5
Asia,Malaysia,6,2,7,5,6,6,5,6
Asia,Russia,7,8,2,5.67,7,7,8,7
Asia,Singapore,8,5,5,6,8,8,7,8
Middle East,Syria,1,1,2,1.33,1,1,1,1
Middle East,Iraq,2,2,1,1.67,2,2,2,2
Middle East,SaudiArabia,4,3,3,3.33,3,4,4,3
Middle East,Turkey,3,4,4,3.67,4,3,3,4
Oceania,NewZealand,1,1,1,1,1,1,1,1
Oceania,Australia,2,2,2,2,2,2,2,2
Europe,France,1,1,4,2,1,1,1,1
Europe,Italy,2,4,1,2.33,2,2,2,2
Europe,Spain,4,3,2,3,3,4,3,3
Europe,Germany,5,2,3,3.33,4,5,4,4
Europe,UK,3,5,5,4.33,5,3,5,5
North America,Canada,1,1,1,1,1,1,1,1
North America,USA,2,2,2,2,2,2,2,2
South America,Mexico,1,2,1,1.33,1,1,1,1
South America,Argentina,3,1,2,2,2,3,2,2
South America,Brazil,2,3,3,2.67,3,2,3,3
Africa,Chad,1,3,3,2.33,1,1,1,1
Africa,CentralAfricanRepublic,5,1,1,2.33,2,5,3,2
Africa,Congo,2,2,4,2.67,3,2,2,3
Africa,Sudan,3,5,2,3.33,4,3,4,4
Africa,Guinea,4,4,5,4.33,5,4,5,5
